OxSample,PET,IS,mz18,mz28,mz44,SigRatio
af. 0.25 % PET in s.,2.5,without,8.62E-08,7.23E-08,1.38E-07,0.40927
af. 0.56 % PET in s.,5.6,without,7.58E-08,9.62E-08,1.01E-07,0.38442
af. 1.06 % PET in s.,10.6,without,7.42E-08,7.12E-08,1.14E-07,0.40043
af. 2.21 % PET in s.,22.1,without,7.57E-08,7.11E-08,1.21E-07,0.3932
af. 3.08 % PET in s.,30.8,without,8.25E-08,8.26E-08,1.17E-07,0.41295
af. 3.91 % PET in s.,39.1,without,8.67E-08,8.73E-08,1.24E-07,0.40925
af. 5.00 % PET in s.,50,without,8.59E-08,7.77E-08,1.27E-07,0.41969
af. 0.25 % PET in s.,2.5,without,8.73E-08,7.24E-08,1.37E-07,0.41709
af. 0.71 % PET in s.,7.1,without,7.37E-08,7.08E-08,1.08E-07,0.41269
af. 1.06 % PET in s.,10.6,without,7.38E-08,8.05E-08,9.29E-08,0.42587
af. 1.93 % PET in s.,19.3,without,7.86E-08,7.54E-08,1.12E-07,0.41837
af. 2.96 % PET in s.,29.6,without,8.16E-08,8.46E-08,1.22E-07,0.39437
af. 4.03 % PET in s.,40.3,without,8.58E-08,8.77E-08,1.19E-07,0.41491
af. 4.93 % PET in s.,49.3,without,8.49E-08,7.71E-08,1.32E-07,0.40547
af. blanks,0,without,7.64E-08,7.20E-08,1.06E-07,0.42921
af. 0.25% PET in s. with CYS,2.5,with,8.29E-08,8.55E-08,1.30E-07,0.38488
af. 0.52% PET in s. with CYS,5.2,with,8.51E-08,8.81E-08,1.37E-07,0.37744
af. 0.89% PET in s. with CYS,8.9,with,8.32E-08,8.09E-08,1.26E-07,0.40173
af. 2.02% PET in s. with CYS,20.2,with,8.87E-08,8.84E-08,1.19E-07,0.42843
af. 2.82% PET in s. with CYS,28.2,with,7.87E-08,8.43E-08,1.19E-07,0.38641
af. 3.84% PET in s. with CYS,38.4,with,8.67E-08,9.02E-08,1.20E-07,0.41129
af. 4.59% PET in s. with CYS,45.9,with,8.61E-08,9.11E-08,1.15E-07,0.41715
af. 0.23% PET in s. with CYS,2.3,with,8.90E-08,8.26E-08,1.14E-07,0.45212
af. 0.52% PET in s. with CYS,5.2,with,8.28E-08,8.21E-08,1.16E-07,0.41875
af. 1.04% PET in s. with CYS,10.4,with,8.32E-08,8.46E-08,1.15E-07,0.41664
af. 2.04% PET in s. with CYS,20.4,with,7.92E-08,8.93E-08,1.10E-07,0.39726
af. 2.95% PET in s. with CYS,29.5,with,8.58E-08,9.70E-08,1.03E-07,0.42909
af. 3.68% PET in s. with CYS,36.8,with,8.39E-08,8.50E-08,1.21E-07,0.40821
af. 4.44% PET in s. with CYS,44.4,with,8.63E-08,9.05E-08,1.18E-07,0.41342
af. blanks with CYS,0,with,8.12E-08,7.88E-08,1.19E-07,0.41111
